label,merged_label,latitude,longitude,year,example_path
Oil palm plantation,Oil palm plantation,3.91875,9.896375,2015,examples/9.896374999999999_3.9187499999999997_0
Oil palm plantation,Oil palm plantation,3.91875,9.896375,2015,examples/9.896374999999999_3.9187499999999997_1
Oil palm plantation,Oil palm plantation,3.91875,9.896375,2015,examples/9.896374999999999_3.9187499999999997_2
Oil palm plantation,Oil palm plantation,3.91875,9.896375,2015,examples/9.896374999999999_3.9187499999999997_3
Oil palm plantation,Oil palm plantation,3.91875,9.896375,2015,examples/9.896374999999999_3.9187499999999997_4
Oil palm plantation,Oil palm plantation,3.899958333,9.816541667,2015,examples/9.81654166666667_3.8999583333333336_0
Oil palm plantation,Oil palm plantation,3.899958333,9.816541667,2015,examples/9.81654166666667_3.8999583333333336_1
Oil palm plantation,Oil palm plantation,3.899958333,9.816541667,2015,examples/9.81654166666667_3.8999583333333336_2
Oil palm plantation,Oil palm plantation,3.899958333,9.816541667,2015,examples/9.81654166666667_3.8999583333333336_3
Oil palm plantation,Oil palm plantation,3.899958333,9.816541667,2015,examples/9.81654166666667_3.8999583333333336_4
Other large-scale plantations,Other large-scale plantations,6.109875,10.394625,2015,examples/10.394625_6.109874999999999_0
Other large-scale plantations,Other large-scale plantations,6.109875,10.394625,2015,examples/10.394625_6.109874999999999_1
Other large-scale plantations,Other large-scale plantations,6.109875,10.394625,2015,examples/10.394625_6.109874999999999_2
Other large-scale plantations,Other large-scale plantations,6.109875,10.394625,2015,examples/10.394625_6.109874999999999_3
Other large-scale plantations,Other large-scale plantations,6.109875,10.394625,2015,examples/10.394625_6.109874999999999_4
Oil palm plantation,Oil palm plantation,4.032875,9.129,2015,examples/9.129000000000001_4.032874999999999_0
Oil palm plantation,Oil palm plantation,4.032875,9.129,2015,examples/9.129000000000001_4.032874999999999_1
Oil palm plantation,Oil palm plantation,4.032875,9.129,2015,examples/9.129000000000001_4.032874999999999_2
Oil palm plantation,Oil palm plantation,4.032875,9.129,2015,examples/9.129000000000001_4.032874999999999_3
Oil palm plantation,Oil palm plantation,4.032875,9.129,2015,examples/9.129000000000001_4.032874999999999_4
Oil palm plantation,Oil palm plantation,4.101125,9.2115,2015,examples/9.211500000000001_4.101125_0
Oil palm plantation,Oil palm plantation,4.101125,9.2115,2015,examples/9.211500000000001_4.101125_1
Oil palm plantation,Oil palm plantation,4.101125,9.2115,2015,examples/9.211500000000001_4.101125_2
Oil palm plantation,Oil palm plantation,4.101125,9.2115,2015,examples/9.211500000000001_4.101125_3
Oil palm plantation,Oil palm plantation,4.101125,9.2115,2015,examples/9.211500000000001_4.101125_4
Oil palm plantation,Oil palm plantation,4.667242647,9.073080882,2015,examples/9.073080882352944_4.667242647058823_0
Oil palm plantation,Oil palm plantation,4.667242647,9.073080882,2015,examples/9.073080882352944_4.667242647058823_1
Oil palm plantation,Oil palm plantation,4.667242647,9.073080882,2015,examples/9.073080882352944_4.667242647058823_2
Oil palm plantation,Oil palm plantation,4.667242647,9.073080882,2015,examples/9.073080882352944_4.667242647058823_3
Oil palm plantation,Oil palm plantation,4.667242647,9.073080882,2015,examples/9.073080882352944_4.667242647058823_4
Timber plantation,Timber plantation,1.8545,15.852875,2015,examples/15.852875_1.8544999999999998_0
Timber plantation,Timber plantation,1.8545,15.852875,2015,examples/15.852875_1.8544999999999998_1
Timber plantation,Timber plantation,1.8545,15.852875,2015,examples/15.852875_1.8544999999999998_2
Timber plantation,Timber plantation,1.8545,15.852875,2015,examples/15.852875_1.8544999999999998_3
Timber plantation,Timber plantation,1.8545,15.852875,2015,examples/15.852875_1.8544999999999998_4
Fruit plantation,Fruit plantation,4.72675,9.653125,2015,examples/9.653125_4.72675_0
Fruit plantation,Fruit plantation,4.72675,9.653125,2015,examples/9.653125_4.72675_1
Fruit plantation,Fruit plantation,4.72675,9.653125,2015,examples/9.653125_4.72675_2
Fruit plantation,Fruit plantation,4.72675,9.653125,2015,examples/9.653125_4.72675_3
Fruit plantation,Fruit plantation,4.72675,9.653125,2015,examples/9.653125_4.72675_4
Other large-scale plantations,Other large-scale plantations,5.587075,10.113275,2015,examples/10.113275_5.5870750000000005_0
