label,merged_label,latitude,longitude,year,example_path
Other large-scale plantations,Other large-scale plantations,4.1905,9.336,2015,examples/9.336000000000002_4.190500000000001
Oil palm plantation,Oil palm plantation,3.899958333,9.816541667,2015,examples/9.81654166666667_3.8999583333333336
Fruit plantation,Fruit plantation,4.729375,9.667375,2015,examples/9.667375_4.729374999999999
Rubber plantation,Rubber plantation,4.38925,9.574125,2015,examples/9.574125_4.38925
Oil palm plantation,Oil palm plantation,4.254916667,8.966458333,2015,examples/8.966458333333334_4.2549166666666665
Oil palm plantation,Oil palm plantation,5.155214286,9.322625,2015,examples/9.322625_5.155214285714286
Oil palm plantation,Oil palm plantation,3.606625,10.669,2015,examples/10.668999999999999_3.606625
Other large-scale plantations,Other large-scale plantations,4.13475,9.257625,2015,examples/9.257625_4.1347499999999995
Oil palm plantation,Oil palm plantation,5.154806818,9.440579545,2015,examples/9.440579545454545_5.154806818181818
Oil palm plantation,Oil palm plantation,3.859625,9.961125,2015,examples/9.961125_3.859625
Fruit plantation,Fruit plantation,4.853875,9.783625,2015,examples/9.783625_4.8538749999999995
Other large-scale plantations,Other large-scale plantations,6.109875,10.394625,2015,examples/10.394625_6.109874999999999
Rubber plantation,Rubber plantation,4.011125,9.280625,2015,examples/9.280625_4.011125
Oil palm plantation,Oil palm plantation,3.657625,10.051875,2015,examples/10.051874999999999_3.6576249999999995
Oil palm plantation,Oil palm plantation,5.171639368,9.413102011,2015,examples/9.413102011494253_5.171639367816088
Other large-scale plantations,Other large-scale plantations,6.085,10.381625,2015,examples/10.381625_6.085
Fruit plantation,Fruit plantation,4.730541667,9.771791667,2015,examples/9.771791666666667_4.730541666666667
Oil palm plantation,Oil palm plantation,4.149625,8.9955,2015,examples/8.9955_4.149625
Rubber plantation,Rubber plantation,4.4213125,9.3885625,2015,examples/9.3885625_4.4213125
Oil palm plantation,Oil palm plantation,4.538875,9.098,2015,examples/9.097999999999999_4.538875
Other large-scale plantations,Other large-scale plantations,6.385083333,10.82995833,2015,examples/10.829958333333332_6.385083333333335
Rubber plantation,Rubber plantation,3.977575,10.509975,2015,examples/10.509975_3.9775750000000003
Oil palm plantation,Oil palm plantation,3.72795,10.579875,2015,examples/10.579874999999998_3.727949999999999
Oil palm plantation,Oil palm plantation,4.101125,9.2115,2015,examples/9.211500000000001_4.101125
Oil palm plantation,Oil palm plantation,4.667242647,9.073080882,2015,examples/9.073080882352944_4.667242647058823
Oil palm plantation,Oil palm plantation,4.45775,8.964125,2015,examples/8.964125_4.45775
Oil palm plantation,Oil palm plantation,4.558975,9.035175,2015,examples/9.035175000000002_4.558975
Oil palm plantation,Oil palm plantation,5.18625,9.445625,2015,examples/9.445625_5.18625
Rubber plantation,Rubber plantation,2.808875,12.532375,2015,examples/12.532375_2.808875
Rubber plantation,Rubber plantation,3.178011051,12.39999851,2015,examples/12.399998506571087_3.178011051373957
Timber plantation,Timber plantation,1.8415,15.837875,2015,examples/15.837875000000002_1.8415
Timber plantation,Timber plantation,1.805875,15.891825,2015,examples/15.891825_1.8058750000000001
Timber plantation,Timber plantation,1.914875,15.945125,2015,examples/15.945124999999999_1.9148749999999997
Timber plantation,Timber plantation,2.022625,15.837375,2015,examples/15.837375_2.022625
Timber plantation,Timber plantation,1.805625,15.892375,2015,examples/15.892375000000003_1.8056250000000003
Timber plantation,Timber plantation,2.022875,15.837625,2015,examples/15.837625000000001_2.022875
Timber plantation,Timber plantation,1.8545,15.852875,2015,examples/15.852875_1.8544999999999998
Other large-scale plantations,Other large-scale plantations,4.18975,9.334125,2015,examples/9.334125_4.18975
Other large-scale plantations,Other large-scale plantations,4.690625,14.137375,2015,examples/14.137375_4.690624999999999
Fruit plantation,Fruit plantation,4.72675,9.653125,2015,examples/9.653125_4.72675
Fruit plantation,Fruit plantation,4.849825,9.783275,2015,examples/9.783275000000001_4.849825
Other large-scale plantations,Other large-scale plantations,6.109375,10.394875,2015,examples/10.394875_6.109375
Other large-scale plantations,Other large-scale plantations,4.0905,9.20875,2015,examples/9.20875_4.0905000000000005
Other large-scale plantations,Other large-scale plantations,6.082666667,10.36516667,2015,examples/10.365166666666669_6.0826666666666656
Rubber plantation,Rubber plantation,4.369375,9.387,2015,examples/9.387_4.369375
Rubber plantation,Rubber plantation,3.224875,12.4155,2015,examples/12.415500000000002_3.224875
Other large-scale plantations,Other large-scale plantations,6.377443182,10.81321591,2015,examples/10.813215909090907_6.377443181818181
Hunting,Hunting,4.86484375,12.40559375,2015,examples/12.40559375_4.8648437499999995
Hunting,Hunting,3.514875,15.24275,2015,examples/15.242750000000003_3.5148750000000004
Hunting,Hunting,3.00825,15.1215,2015,examples/15.1215_3.00825
Hunting,Hunting,3.4855,14.879625,2015,examples/14.879625_3.4855000000000005
Hunting,Hunting,2.676125,15.3205,2015,examples/15.3205_2.6761249999999994
Hunting,Hunting,8.370625,12.9615,2015,examples/12.961500000000001_8.370625
Hunting,Hunting,3.24475,14.876,2015,examples/14.876_3.24475
Hunting,Hunting,2.438,15.438,2015,examples/15.438_2.4379999999999997
Hunting,Hunting,5.267788043,12.77563587,2015,examples/12.77563586956522_5.2677880434782605
Hunting,Hunting,5.076541667,12.44245833,2015,examples/12.442458333333333_5.0765416666666665
Hunting,Hunting,2.712625,15.453625,2015,examples/15.453625_2.712624999999999
Hunting,Hunting,3.022,15.15475,2015,examples/15.154749999999998_3.022
Hunting,Hunting,2.405125,12.77125,2015,examples/12.77125_2.4051249999999995
Mining,Mining,3.354125,10.615375,2015,examples/10.615375000000004_3.354125
Mining,Mining,3.2411875,15.6155625,2015,examples/15.6155625_3.2411875
Mining,Mining,2.595125,12.806625,2015,examples/12.806625_2.5951249999999995
Mining,Mining,2.549375,12.738625,2015,examples/12.738624999999997_2.549375
Mining,Mining,3.062291667,14.19870833,2015,examples/14.198708333333336_3.0622916666666664
Mining,Mining,3.41975,13.83325,2015,examples/13.833250000000001_3.4197500000000005
Mining,Mining,2.647595588,12.64719853,2015,examples/12.647198529411769_2.647595588235295
Mining,Mining,3.587125,10.755875,2015,examples/10.755874999999998_3.5871250000000003
Mining,Mining,3.394625,10.61425,2015,examples/10.61425_3.394625
Mining,Mining,3.62575,10.756375,2015,examples/10.756374999999998_3.625749999999999
Mining,Mining,3.554125,10.776375,2015,examples/10.776375_3.554125
Oil palm plantation,Oil palm plantation,3.134051471,12.270875,2015,examples/12.270875_3.1340514705882363
Rubber plantation,Rubber plantation,3.060682692,12.40734615,2015,examples/12.407346153846154_3.0606826923076933
Oil palm plantation,Oil palm plantation,3.075494048,12.37558929,2015,examples/12.375589285714286_3.0754940476190478
Oil palm plantation,Oil palm plantation,3.136875,12.4275,2015,examples/12.427499999999998_3.136875
Wildfire,Wildfire,8.926878906,14.48294922,2015,examples/14.482949218749997_8.926878906249994
Wildfire,Wildfire,8.970726562,14.168,2015,examples/14.168_8.970726562499994
Wildfire,Wildfire,8.838375,14.093875,2015,examples/14.093875000000002_8.838375
Wildfire,Wildfire,8.840958333,14.11495833,2015,examples/14.114958333333332_8.840958333333333
Wildfire,Wildfire,8.972125,14.098625,2015,examples/14.098624999999998_8.972125
Wildfire,Wildfire,8.91275,14.669625,2015,examples/14.669625_8.912749999999999
Wildfire,Wildfire,8.974875,14.099,2015,examples/14.099_8.974875
Wildfire,Wildfire,8.975,14.098375,2015,examples/14.098375_8.975
Wildfire,Wildfire,8.838683594,14.093375,2015,examples/14.093374999999998_8.838683593749993
Wildfire,Wildfire,8.8385,14.090375,2015,examples/14.090375000000002_8.8385
Wildfire,Wildfire,8.838933594,14.093375,2015,examples/14.093375_8.838933593749992
Wildfire,Wildfire,8.974875,14.09975,2015,examples/14.09975_8.974875
