label,merged_label,latitude,longitude,year,example_path
Oil palm plantation,Plantation,4.540875,9.538,2015,examples/9.538_4.540875
Other large-scale plantations,Plantation,4.1905,9.336,2015,examples/9.336000000000002_4.190500000000001
Other large-scale plantations,Plantation,4.603583333,12.23210417,2015,examples/12.232104166666666_4.603583333333333
Fruit plantation,Plantation,4.729375,9.667375,2015,examples/9.667375_4.729374999999999
Rubber plantation,Plantation,4.38925,9.574125,2015,examples/9.574125_4.38925
Oil palm plantation,Plantation,4.254916667,8.966458333,2015,examples/8.966458333333334_4.2549166666666665
Fruit plantation,Plantation,4.721625,9.695125,2015,examples/9.695125_4.7216249999999995
Oil palm plantation,Plantation,3.606625,10.669,2015,examples/10.668999999999999_3.606625
Oil palm plantation,Plantation,5.154806818,9.440579545,2015,examples/9.440579545454545_5.154806818181818
Oil palm plantation,Plantation,4.051833333,9.193208333,2015,examples/9.193208333333333_4.051833333333333
Oil palm plantation,Plantation,4.138125,9.322,2015,examples/9.322_4.138125
Oil palm plantation,Plantation,3.859625,9.961125,2015,examples/9.961125_3.859625
Fruit plantation,Plantation,4.853875,9.783625,2015,examples/9.783625_4.8538749999999995
Oil palm plantation,Plantation,3.653958333,10.65408333,2015,examples/10.654083333333336_3.6539583333333328
Other large-scale plantations,Plantation,6.109875,10.394625,2015,examples/10.394625_6.109874999999999
Rubber plantation,Plantation,4.011125,9.280625,2015,examples/9.280625_4.011125
Oil palm plantation,Plantation,3.657625,10.051875,2015,examples/10.051874999999999_3.6576249999999995
Other large-scale plantations,Plantation,4.098125,9.219875,2015,examples/9.219875_4.098125
Oil palm plantation,Plantation,4.032875,9.129,2015,examples/9.129000000000001_4.032874999999999
Other large-scale plantations,Plantation,6.085,10.381625,2015,examples/10.381625_6.085
Fruit plantation,Plantation,4.730541667,9.771791667,2015,examples/9.771791666666667_4.730541666666667
Oil palm plantation,Plantation,4.149625,8.9955,2015,examples/8.9955_4.149625
Rubber plantation,Plantation,4.4213125,9.3885625,2015,examples/9.3885625_4.4213125
Rubber plantation,Plantation,3.2259,12.415475,2015,examples/12.415474999999997_3.2258999999999984
Oil palm plantation,Plantation,4.538875,9.098,2015,examples/9.097999999999999_4.538875
Oil palm plantation,Plantation,4.992,8.905125,2015,examples/8.905124999999998_4.992
Rubber plantation,Plantation,3.977575,10.509975,2015,examples/10.509975_3.9775750000000003
Oil palm plantation,Plantation,3.72795,10.579875,2015,examples/10.579874999999998_3.727949999999999
Oil palm plantation,Plantation,4.101125,9.2115,2015,examples/9.211500000000001_4.101125
Oil palm plantation,Plantation,4.667242647,9.073080882,2015,examples/9.073080882352944_4.667242647058823
Rubber plantation,Plantation,2.808875,12.532375,2015,examples/12.532375_2.808875
Rubber plantation,Plantation,3.178011051,12.39999851,2015,examples/12.399998506571087_3.178011051373957
Timber plantation,Plantation,1.914875,15.945125,2015,examples/15.945124999999999_1.9148749999999997
Timber plantation,Plantation,1.804416667,15.89116667,2015,examples/15.891166666666669_1.8044166666666674
Timber plantation,Plantation,1.817625,15.876,2015,examples/15.876000000000001_1.8176249999999996
Timber plantation,Plantation,2.027625,15.82275,2015,examples/15.822750000000001_2.027625
Timber plantation,Plantation,2.022625,15.837375,2015,examples/15.837375_2.022625
Timber plantation,Plantation,1.805625,15.892375,2015,examples/15.892375000000003_1.8056250000000003
Timber plantation,Plantation,1.8545,15.852875,2015,examples/15.852875_1.8544999999999998
Timber plantation,Plantation,2.022375,15.837125,2015,examples/15.837124999999999_2.0223749999999994
Other large-scale plantations,Plantation,4.18975,9.334125,2015,examples/9.334125_4.18975
Other large-scale plantations,Plantation,4.690625,14.137375,2015,examples/14.137375_4.690624999999999
Other large-scale plantations,Plantation,4.603375,12.233375,2015,examples/12.233375_4.603375
Fruit plantation,Plantation,4.72675,9.653125,2015,examples/9.653125_4.72675
Other large-scale plantations,Plantation,4.134625,9.261125,2015,examples/9.261125_4.134625000000001
Other large-scale plantations,Plantation,6.109375,10.394875,2015,examples/10.394875_6.109375
Other large-scale plantations,Plantation,4.0905,9.20875,2015,examples/9.20875_4.0905000000000005
Other large-scale plantations,Plantation,5.587075,10.113275,2015,examples/10.113275_5.5870750000000005
Rubber plantation,Plantation,4.369375,9.387,2015,examples/9.387_4.369375
Rubber plantation,Plantation,3.224875,12.4155,2015,examples/12.415500000000002_3.224875
Other large-scale plantations,Plantation,6.377443182,10.81321591,2015,examples/10.813215909090907_6.377443181818181
Rubber plantation,Plantation,3.971375,10.517375,2015,examples/10.517375000000003_3.9713749999999997
Hunting,Other,4.86484375,12.40559375,2015,examples/12.40559375_4.8648437499999995
Hunting,Other,3.514875,15.24275,2015,examples/15.242750000000003_3.5148750000000004
Hunting,Other,2.467625,15.292625,2015,examples/15.292625000000003_2.4676250000000004
Hunting,Other,2.999125,14.815625,2015,examples/14.815624999999999_2.999125
Hunting,Other,3.47925,15.050875,2015,examples/15.050875000000001_3.47925
Hunting,Other,2.676125,15.3205,2015,examples/15.3205_2.6761249999999994
Hunting,Other,8.490875,13.662625,2015,examples/13.662625_8.490874999999999
Hunting,Other,8.370625,12.9615,2015,examples/12.961500000000001_8.370625
Hunting,Other,2.438,15.438,2015,examples/15.438_2.4379999999999997
Hunting,Other,5.904125,12.314875,2015,examples/12.314875_5.904125
Hunting,Other,2.712625,15.453625,2015,examples/15.453625_2.712624999999999
Hunting,Other,2.141,15.667875,2015,examples/15.667874999999999_2.1409999999999996
Mining,Other,3.354125,10.615375,2015,examples/10.615375000000004_3.354125
Mining,Other,3.2411875,15.6155625,2015,examples/15.6155625_3.2411875
Mining,Other,2.595125,12.806625,2015,examples/12.806625_2.5951249999999995
Mining,Other,3.062291667,14.19870833,2015,examples/14.198708333333336_3.0622916666666664
Mining,Other,2.232375,13.918125,2015,examples/13.918124999999998_2.2323749999999998
Mining,Other,2.799875,13.876,2015,examples/13.876000000000001_2.799875
Mining,Other,3.41975,13.83325,2015,examples/13.833250000000001_3.4197500000000005
Mining,Other,2.647595588,12.64719853,2015,examples/12.647198529411769_2.647595588235295
Mining,Other,3.772433824,10.65472794,2015,examples/10.65472794117647_3.7724338235294117
Mining,Other,3.589778846,10.62229808,2015,examples/10.622298076923077_3.589778846153847
Mining,Other,3.62575,10.756375,2015,examples/10.756374999999998_3.625749999999999
Mining,Other,2.614375,12.679,2015,examples/12.679_2.6143750000000003
Mining,Other,3.354940217,14.13670109,2015,examples/14.136701086956522_3.3549402173913045
Mining,Other,3.554125,10.776375,2015,examples/10.776375_3.554125
Oil palm plantation,Plantation,2.289125,11.285875,2015,examples/11.285875_2.289125
Oil palm plantation,Plantation,3.026875,12.346125,2015,examples/12.346125_3.026875
Rubber plantation,Plantation,3.060682692,12.40734615,2015,examples/12.407346153846154_3.0606826923076933
Rubber plantation,Plantation,3.198125,12.37625,2015,examples/12.376249999999999_3.198125
Rubber plantation,Plantation,3.18075,12.4275,2015,examples/12.4275_3.1807499999999997
Oil palm plantation,Plantation,3.075494048,12.37558929,2015,examples/12.375589285714286_3.0754940476190478
Oil palm plantation,Plantation,3.136875,12.4275,2015,examples/12.427499999999998_3.136875
Rubber plantation,Plantation,3.179875,12.374875,2015,examples/12.374875000000001_3.179875
Wildfire,Other,8.8375,14.094875,2015,examples/14.094875000000002_8.8375
Wildfire,Other,8.926878906,14.48294922,2015,examples/14.482949218749997_8.926878906249994
Wildfire,Other,8.840958333,14.11495833,2015,examples/14.114958333333332_8.840958333333333
Wildfire,Other,8.837875,14.093875,2015,examples/14.093875_8.837875
Wildfire,Other,8.838875,14.0895,2015,examples/14.089499999999997_8.838875
Wildfire,Other,8.972125,14.098625,2015,examples/14.098624999999998_8.972125
Wildfire,Other,8.91275,14.669625,2015,examples/14.669625_8.912749999999999
Wildfire,Other,8.974875,14.099,2015,examples/14.099_8.974875
Wildfire,Other,8.839175,14.092025,2015,examples/14.092025000000001_8.839175000000001
Wildfire,Other,9.275875,14.327875,2015,examples/14.327875000000002_9.275875
Wildfire,Other,8.83695,14.09435,2015,examples/14.09435_8.836949999999998
Wildfire,Other,8.83875,14.094125,2015,examples/14.094125_8.838750000000001
Wildfire,Other,8.83875,14.093375,2015,examples/14.093375_8.838750000000001
Selective logging,Other,2.85025,10.985625,2015,examples/10.985624999999999_2.85025
Selective logging,Other,4.110958333,10.38440278,2015,examples/10.384402777777778_4.1109583333333335
Selective logging,Other,3.30025,13.981625,2015,examples/13.981625_3.3002499999999992
Selective logging,Other,3.530675,13.255525,2015,examples/13.255525000000002_3.530675
Selective logging,Other,3.796625,14.953875,2015,examples/14.953874999999998_3.796625
Selective logging,Other,2.609,15.740375,2015,examples/15.740375_2.6089999999999995
Selective logging,Other,5.45625,11.992125,2015,examples/11.992125000000001_5.45625
Selective logging,Other,2.854125,11.44830357,2015,examples/11.448303571428571_2.854125
Selective logging,Other,3.762875,10.938,2015,examples/10.937999999999999_3.762875
Selective logging,Other,2.6571875,10.8083125,2015,examples/10.808312500000001_2.6571875
Selective logging,Other,2.648625,11.774625,2015,examples/11.774625_2.648625
Selective logging,Other,3.486553571,12.14891071,2015,examples/12.148910714285716_3.486553571428571
Selective logging,Other,4.234125,14.56194167,2015,examples/14.561941666666664_4.234125
Selective logging,Other,2.867,13.880625,2015,examples/13.880625_2.867
Selective logging,Other,3.365225,14.484275,2015,examples/14.484275000000002_3.3652250000000006
Selective logging,Other,5.275053571,13.34748214,2015,examples/13.347482142857142_5.275053571428572
Selective logging,Other,5.355625,12.15525,2015,examples/12.15525_5.355625000000001
Selective logging,Other,3.721625,12.5855,2015,examples/12.585499999999998_3.7216249999999995
Selective logging,Other,2.568958333,15.54329167,2015,examples/15.543291666666665_2.5689583333333323
Selective logging,Other,3.4785,13.680875,2015,examples/13.680875_3.4784999999999995
Selective logging,Other,4.084375,14.89275,2015,examples/14.892749999999998_4.084375
Selective logging,Other,4.532375,13.439625,2015,examples/13.439625000000001_4.532374999999999
Selective logging,Other,4.293375,10.736375,2015,examples/10.736374999999999_4.293374999999999
Selective logging,Other,2.6105,9.999875,2015,examples/9.999875_2.610499999999999
Selective logging,Other,2.95275,11.564625,2015,examples/11.564625_2.9527499999999995
Selective logging,Other,2.928208333,14.23745833,2015,examples/14.23745833333333_2.9282083333333335
Selective logging,Other,3.05275,14.213625,2015,examples/14.213625_3.0527500000000005
Selective logging,Other,3.6195,10.769125,2015,examples/10.769124999999997_3.6194999999999995
Selective logging,Other,2.881125,13.92125,2015,examples/13.921249999999999_2.881125
Selective logging,Other,2.591075,11.389025,2015,examples/11.389025_2.591075
Selective logging,Other,5.707625,9.80375,2015,examples/9.803750000000003_5.707625
Selective logging,Other,2.548875,11.79025,2015,examples/11.790250000000002_2.548875
Selective logging,Other,2.774375,13.529125,2015,examples/13.529125_2.7743749999999996
Selective logging,Other,2.24275,15.151125,2015,examples/15.151124999999999_2.24275
Selective logging,Other,3.731475,13.810575,2015,examples/13.810575_3.731475
Selective logging,Other,2.4970625,12.2490625,2015,examples/12.249062499999997_2.4970625
Selective logging,Other,2.938125,12.640375,2015,examples/12.640375_2.9381249999999994
Selective logging,Other,3.407278846,14.55508654,2015,examples/14.555086538461538_3.4072788461538455
Selective logging,Other,2.424,15.144125,2015,examples/15.144124999999999_2.424
Selective logging,Other,2.109375,15.427125,2015,examples/15.427124999999998_2.109375
Selective logging,Other,4.916625,13.007,2015,examples/13.006999999999998_4.916625
Selective logging,Other,3.40925,14.852625,2015,examples/14.852625000000002_3.4092499999999997
Selective logging,Other,3.7535,11.8015,2015,examples/11.8015_3.7535
Selective logging,Other,2.521325,10.98075,2015,examples/10.980749999999999_2.5213250000000005
Selective logging,Other,3.070208333,14.63666667,2015,examples/14.636666666666668_3.070208333333334
Selective logging,Other,4.192208333,13.67204167,2015,examples/13.672041666666667_4.192208333333333
Selective logging,Other,5.96475,9.3485,2015,examples/9.3485_5.96475
Selective logging,Other,3.655875,12.948625,2015,examples/12.948624999999998_3.655875
Selective logging,Other,4.058,14.67,2015,examples/14.669999999999998_4.058
Selective logging,Other,3.6185,10.34075,2015,examples/10.34075_3.618499999999999
Selective logging,Other,3.08,11.329625,2015,examples/11.329624999999998_3.08
Selective logging,Other,4.014261364,14.09107955,2015,examples/14.091079545454543_4.014261363636362
Selective logging,Other,5.595946429,9.271982143,2015,examples/9.271982142857146_5.595946428571429
Selective logging,Other,5.2191875,12.558125,2015,examples/12.558124999999999_5.2191875
Selective logging,Other,2.428625,14.00755357,2015,examples/14.007553571428573_2.428625
Selective logging,Other,3.494125,12.519625,2015,examples/12.519625000000001_3.4941249999999995
Selective logging,Other,4.189375,13.651625,2015,examples/13.651624999999997_4.189375
Selective logging,Other,5.806875,8.925875,2015,examples/8.925875_5.806875000000001
Selective logging,Other,3.667125,13.855,2015,examples/13.854999999999999_3.6671249999999995
Selective logging,Other,3.664041667,13.49054167,2015,examples/13.490541666666667_3.664041666666667
Selective logging,Other,5.07025,13.550375,2015,examples/13.550374999999999_5.070250000000001
Selective logging,Other,2.859375,15.66475,2015,examples/15.66475_2.859375
Selective logging,Other,4.772125,10.345,2015,examples/10.344999999999997_4.772125
Selective logging,Other,2.706303571,15.240875,2015,examples/15.240875_2.7063035714285704
Selective logging,Other,4.182402778,14.16581944,2015,examples/14.165819444444445_4.182402777777777
Selective logging,Other,5.219833333,9.272458333,2015,examples/9.272458333333333_5.219833333333333
Selective logging,Other,2.6455,11.166125,2015,examples/11.166125_2.6454999999999997
Selective logging,Other,2.636375,12.587875,2015,examples/12.587875_2.6363749999999997
Selective logging,Other,3.026232143,13.76641071,2015,examples/13.766410714285714_3.0262321428571424
Selective logging,Other,3.939375,12.937125,2015,examples/12.937125_3.9393749999999996
Selective logging,Other,2.816375,14.33375,2015,examples/14.333750000000002_2.8163750000000003
Selective logging,Other,2.522083333,12.96070833,2015,examples/12.960708333333335_2.5220833333333337
Selective logging,Other,4.556375,9.405125,2015,examples/9.405125_4.556374999999999
Selective logging,Other,2.338625,10.69575,2015,examples/10.69575_2.338625
Selective logging,Other,2.73075,11.466,2015,examples/11.466000000000001_2.73075
Selective logging,Other,4.226125,13.861375,2015,examples/13.861375_4.226125
Selective logging,Other,3.867625,13.571,2015,examples/13.571_3.867625
Selective logging,Other,2.653,13.297875,2015,examples/13.297875_2.653
Selective logging,Other,3.632375,10.63575,2015,examples/10.635749999999994_3.632374999999998
Selective logging,Other,3.241553571,15.12366071,2015,examples/15.123660714285712_3.2415535714285704
Selective logging,Other,3.629553571,13.14435714,2015,examples/13.14435714285714_3.629553571428571
Selective logging,Other,2.603,12.886875,2015,examples/12.886875_2.6029999999999998
Selective logging,Other,4.548125,13.257375,2015,examples/13.257374999999998_4.548125
Selective logging,Other,2.858625,13.124,2015,examples/13.124_2.858625
Selective logging,Other,3.702625,14.713,2015,examples/14.713000000000005_3.702625
Mining,Other,2.6085,12.669625,2015,examples/12.669625000000002_2.6085000000000003
Mining,Other,2.54375,12.762125,2015,examples/12.762125000000003_2.54375
Mining,Other,3.417410714,13.83355357,2015,examples/13.83355357142857_3.417410714285714
Mining,Other,3.318875,14.10745833,2015,examples/14.107458333333327_3.3188749999999994
Mining,Other,3.669875,10.603375,2015,examples/10.603375_3.6698749999999998
Mining,Other,3.664045455,10.64090909,2015,examples/10.640909090909092_3.6640454545454557
Mining,Other,2.22925,13.929375,2015,examples/13.929375_2.22925
Mining,Other,3.57425,10.607125,2015,examples/10.607125_3.57425
Mining,Other,2.798375,13.90625,2015,examples/13.906249999999996_2.798375
Mining,Other,3.7715,10.644375,2015,examples/10.644375_3.7715
Mining,Other,3.66984375,10.58509375,2015,examples/10.58509375_3.6698437500000005
Mining,Other,3.553875,10.776625,2015,examples/10.776625_3.553875
Other large-scale plantations,Plantation,4.19009375,9.33509375,2015,examples/9.335093749999999_4.19009375
Other large-scale plantations,Plantation,4.603236111,12.23595833,2015,examples/12.235958333333334_4.60323611111111
Fruit plantation,Plantation,4.726125,9.651625,2015,examples/9.651625000000001_4.726124999999999
Fruit plantation,Plantation,4.720513889,9.696416667,2015,examples/9.69641666666667_4.720513888888888
Fruit plantation,Plantation,4.849375,9.782875,2015,examples/9.782875000000002_4.849375
Other large-scale plantations,Plantation,5.5865,10.11225,2015,examples/10.112250000000001_5.586500000000001
Fruit plantation,Plantation,4.730375,9.771375,2015,examples/9.771374999999999_4.730375
Rubber plantation,Plantation,3.9705,10.516,2015,examples/10.515999999999998_3.9705
Mining,Other,3.351402778,10.60768056,2016,examples/10.607680555555557_3.351402777777778
Mining,Other,2.608625,12.680625,2016,examples/12.680625000000001_2.608625
Mining,Other,3.5875,10.63175,2016,examples/10.63175_3.5875
Mining,Other,2.988625,14.1805,2016,examples/14.1805_2.988625
Mining,Other,3.419375,13.833375,2016,examples/13.833374999999998_3.419374999999999
Mining,Other,3.285125,15.578625,2016,examples/15.578625_3.285125
Mining,Other,2.784625,13.877375,2016,examples/13.877374999999999_2.7846249999999997
Mining,Other,2.644065,12.656635,2016,examples/12.656635_2.644065
Mining,Other,3.772125,10.652375,2016,examples/10.652375_3.7721249999999995
Mining,Other,3.32575,15.57975,2016,examples/15.579749999999999_3.3257499999999998
Mining,Other,3.378125,10.605875,2016,examples/10.605875000000001_3.3781250000000003
Mining,Other,3.352041667,14.13429167,2016,examples/14.134291666666664_3.3520416666666657
Rubber plantation,Plantation,3.076875,12.450375,2016,examples/12.450375_3.076875
Rubber plantation,Plantation,3.017125,12.570625,2016,examples/12.570625_3.0171249999999996
Timber plantation,Plantation,1.796841667,15.888775,2016,examples/15.888775000000004_1.7968416666666662
Timber plantation,Plantation,1.854,15.848875,2016,examples/15.848875000000001_1.8539999999999999
Timber plantation,Plantation,1.767375,15.994875,2016,examples/15.994875_1.7673750000000004
Timber plantation,Plantation,1.999125,15.818,2016,examples/15.818_1.9991250000000005
Timber plantation,Plantation,1.840552445,15.83919473,2016,examples/15.839194728044946_1.8405524454930198
Timber plantation,Plantation,1.768875,15.999875,2016,examples/15.999874999999998_1.7688750000000006
Timber plantation,Plantation,1.823625,15.87125,2016,examples/15.871250000000002_1.8236249999999996
Timber plantation,Plantation,1.79675,15.91545833,2016,examples/15.915458333333335_1.7967500000000003
Timber plantation,Plantation,1.770625,15.993125,2016,examples/15.993125000000003_1.770625
Timber plantation,Plantation,1.811375,16.0189375,2016,examples/16.018937499999996_1.8113749999999997
Timber plantation,Plantation,1.794125,15.91275,2016,examples/15.91275_1.7941250000000004
Timber plantation,Plantation,1.844875,15.841125,2016,examples/15.841125000000002_1.844875
Timber plantation,Plantation,1.839625,15.838875,2016,examples/15.838875000000002_1.8396249999999996
Timber plantation,Plantation,1.939625,15.82825,2016,examples/15.828249999999999_1.9396250000000006
Timber plantation,Plantation,1.85425,15.8465,2016,examples/15.8465_1.8542499999999993
Timber plantation,Plantation,1.852377436,15.83212894,2016,examples/15.832128937402448_1.8523774364011016
Timber plantation,Plantation,1.768958333,16.006875,2016,examples/16.006875000000004_1.7689583333333325
Timber plantation,Plantation,1.771125,15.987125,2016,examples/15.987124999999999_1.7711249999999996
Timber plantation,Plantation,1.854875,15.856125,2016,examples/15.856125_1.8548749999999998
Timber plantation,Plantation,1.950875,15.817625,2016,examples/15.817625000000001_1.950875
Timber plantation,Plantation,1.844125,15.846625,2016,examples/15.846625000000001_1.844125
Timber plantation,Plantation,1.844425,15.841525,2016,examples/15.841525000000003_1.8444249999999995
Timber plantation,Plantation,1.794182692,15.91543269,2016,examples/15.915432692307695_1.7941826923076922
Timber plantation,Plantation,1.840958333,16.01704167,2016,examples/16.017041666666664_1.8409583333333335
Timber plantation,Plantation,1.851625,15.854625,2016,examples/15.854624999999999_1.8516249999999994
Timber plantation,Plantation,1.841875,15.837875,2016,examples/15.837875000000002_1.8418749999999997
Timber plantation,Plantation,1.791875,15.882125,2016,examples/15.882125_1.7918749999999999
Timber plantation,Plantation,1.768375,16.00525,2016,examples/16.005250000000004_1.7683749999999998
Timber plantation,Plantation,1.768625,16.004875,2016,examples/16.004875_1.7686250000000001
Timber plantation,Plantation,1.769791667,15.99879167,2016,examples/15.998791666666666_1.7697916666666658
Timber plantation,Plantation,1.952875,15.8185,2016,examples/15.818500000000002_1.9528749999999995
Timber plantation,Plantation,2.104875,15.968375,2016,examples/15.968374999999996_2.1048749999999994
Timber plantation,Plantation,1.768525,16.000225,2016,examples/16.000225_1.7685249999999992
Timber plantation,Plantation,1.806256579,15.89229605,2016,examples/15.892296052631577_1.8062565789473688
Timber plantation,Plantation,1.939375,15.813125,2016,examples/15.813125000000001_1.939375
Timber plantation,Plantation,1.791375,15.882625,2016,examples/15.882625_1.7913749999999997
Timber plantation,Plantation,1.768125,16.002875,2016,examples/16.002875_1.7681250000000002
Timber plantation,Plantation,1.841625,15.837625,2016,examples/15.837625000000001_1.8416249999999996
Timber plantation,Plantation,1.770125,16.010375,2016,examples/16.010375_1.7701249999999993
Timber plantation,Plantation,1.942625,15.83175,2016,examples/15.83175_1.9426249999999998
Timber plantation,Plantation,1.851625,15.838,2016,examples/15.838000000000001_1.8516249999999994
